epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.427,2.11338,2.97968,1.8704,0.04161,0.43604,0.02858,0.00881,2.96005,59.5076,3.61071,0.000540649,0.000540649,0.000540649
2,138.123,1.99022,2.319,1.83314,0.00283,0.34865,0.00343,0.00124,nan,nan,nan,0.00108908,0.00108908,0.00108908
3,144.656,2.11543,2.22794,1.87175,0.00948,0.05405,0.00577,0.00125,nan,nan,nan,0.00163018,0.00163018,0.00163018
4,151.07,2.01381,2.15311,1.8009,0.03533,0.03018,0.00146,0.00028,nan,nan,nan,0.00163399,0.00163399,0.00163399
5,157.328,1.9905,1.96628,1.71687,0.03533,0.03018,0.00146,0.00028,2.9459,3.64261,7.39262,0.00162299,0.00162299,0.00162299
6,163.59,1.90529,1.83164,1.7226,0.0018,0.18423,0.0011,0.00033,4.0802,322.744,7.00599,0.00161199,0.00161199,0.00161199
7,170.239,1.90356,1.75017,1.75011,0.44,0.44009,0.30216,0.12333,2.36263,3.09203,2.35753,0.00160099,0.00160099,0.00160099
8,177.353,1.98899,1.82316,1.74943,0.36298,0.30586,0.1741,0.07022,2.60056,4.09433,2.94549,0.00158998,0.00158998,0.00158998
9,183.905,1.86255,1.71275,1.67952,0.38733,0.64414,0.40623,0.18519,1.92653,1.76119,1.84748,0.00157898,0.00157898,0.00157898
10,190.78,1.89929,1.67745,1.73082,0.45171,0.76908,0.54476,0.24297,1.78979,1.63843,1.74799,0.00156798,0.00156798,0.00156798
11,197.764,1.82518,1.64367,1.65226,0.42434,0.66424,0.49151,0.25583,1.78416,1.57148,1.71469,0.00155698,0.00155698,0.00155698
12,204.412,1.82548,1.59927,1.66007,0.44021,0.78712,0.49809,0.27644,1.75855,1.4885,1.65419,0.00154598,0.00154598,0.00154598
13,211.539,1.7307,1.53369,1.61308,0.3664,0.77939,0.42961,0.22568,1.8375,1.47719,1.79866,0.00153497,0.00153497,0.00153497
14,218.13,1.73162,1.52986,1.60398,0.47886,0.78559,0.53977,0.26932,1.76291,1.38982,1.7229,0.00152397,0.00152397,0.00152397
15,224.567,1.74479,1.49213,1.6045,0.44318,0.68378,0.52753,0.2501,1.92883,1.45669,1.76743,0.00151297,0.00151297,0.00151297
16,231.645,1.7146,1.52915,1.5812,0.39678,0.61162,0.43911,0.20062,2.05579,2.1709,1.92655,0.00150197,0.00150197,0.00150197
17,238.427,1.7279,1.51626,1.57935,0.42094,0.74309,0.45369,0.21611,1.92243,1.43714,1.75289,0.00149096,0.00149096,0.00149096
18,245.128,1.67242,1.50955,1.56349,0.43503,0.7812,0.48347,0.24194,1.80129,1.49088,1.7003,0.00147996,0.00147996,0.00147996
19,251.775,1.65185,1.51382,1.53974,0.41115,0.85856,0.51667,0.28182,1.6403,1.31757,1.53072,0.00146896,0.00146896,0.00146896
20,259.649,1.61227,1.48083,1.52161,0.43518,0.83559,0.46094,0.2493,1.66262,1.38069,1.6551,0.00145796,0.00145796,0.00145796
21,266.188,1.61902,1.41948,1.55513,0.40254,0.93349,0.55936,0.29612,1.75869,1.38094,1.68574,0.00144696,0.00144696,0.00144696
22,273.486,1.57688,1.38335,1.50622,0.38397,0.78874,0.42654,0.22245,1.71824,1.44573,1.69,0.00143595,0.00143595,0.00143595
23,279.962,1.56588,1.37575,1.52249,0.45148,0.71081,0.45813,0.23549,1.8025,1.36088,1.73009,0.00142495,0.00142495,0.00142495
24,286.593,1.57488,1.37897,1.51786,0.39063,0.81404,0.44443,0.22054,1.80466,1.5206,1.75132,0.00141395,0.00141395,0.00141395
25,293.289,1.55381,1.38687,1.5014,0.43083,0.84505,0.48999,0.24468,1.86404,1.3221,1.80578,0.00140295,0.00140295,0.00140295
26,299.918,1.54969,1.35263,1.49631,0.43358,0.87207,0.56668,0.29225,1.70883,1.22867,1.66176,0.00139195,0.00139195,0.00139195
27,306.587,1.55871,1.34816,1.48508,0.44192,0.89171,0.50182,0.26366,1.65877,1.23204,1.59442,0.00138094,0.00138094,0.00138094
28,313.186,1.54508,1.33219,1.46575,0.39115,0.88874,0.48542,0.26732,1.57415,1.29697,1.53682,0.00136994,0.00136994,0.00136994
29,319.962,1.54324,1.34015,1.4867,0.45751,0.91577,0.60364,0.32901,1.66022,1.20574,1.58306,0.00135894,0.00135894,0.00135894
30,327.022,1.48885,1.32516,1.46349,0.40111,0.89595,0.50521,0.27246,1.67018,1.33293,1.59024,0.00134794,0.00134794,0.00134794
31,333.627,1.56586,1.34449,1.50195,0.43509,0.83559,0.48005,0.25322,1.73337,1.31726,1.63587,0.00133693,0.00133693,0.00133693
32,340.133,1.52282,1.32302,1.49603,0.46818,0.90451,0.52576,0.30347,1.58374,1.20068,1.55045,0.00132593,0.00132593,0.00132593
33,346.86,1.53795,1.28943,1.48267,0.43361,0.86892,0.47636,0.23888,1.71193,1.26215,1.71239,0.00131493,0.00131493,0.00131493
34,353.596,1.49423,1.28109,1.46665,0.46176,0.87637,0.6152,0.3265,1.72204,1.23006,1.71015,0.00130393,0.00130393,0.00130393
35,360.501,1.46954,1.28604,1.46016,0.44735,0.89279,0.56706,0.29972,1.63289,1.19528,1.62355,0.00129293,0.00129293,0.00129293
36,367.231,1.46926,1.27224,1.45772,0.44468,0.81479,0.47518,0.24431,1.67781,1.23558,1.66511,0.00128192,0.00128192,0.00128192
37,374.032,1.47334,1.27465,1.46975,0.4539,0.93244,0.51043,0.26102,1.73475,1.23045,1.71651,0.00127092,0.00127092,0.00127092
38,380.792,1.44286,1.26102,1.42921,0.40534,0.88243,0.50099,0.27248,1.71971,1.21792,1.6917,0.00125992,0.00125992,0.00125992
39,387.207,1.48735,1.32269,1.49584,0.42594,0.85953,0.5472,0.30607,1.67741,1.21583,1.65129,0.00124892,0.00124892,0.00124892
40,393.543,1.50272,1.30255,1.46617,0.43877,0.87523,0.50021,0.26521,1.72217,1.2166,1.59865,0.00123791,0.00123791,0.00123791
41,399.918,1.4508,1.28769,1.42478,0.43114,0.89533,0.47681,0.27253,1.58505,1.2298,1.59762,0.00122691,0.00122691,0.00122691
42,406.14,1.44205,1.24984,1.4175,0.43749,0.84279,0.50029,0.27049,1.73589,1.19865,1.69076,0.00121591,0.00121591,0.00121591
43,412.494,1.44731,1.24538,1.43048,0.42681,0.91732,0.56156,0.30779,1.65014,1.20457,1.66597,0.00120491,0.00120491,0.00120491
44,419.27,1.40695,1.24254,1.43703,0.48314,0.82821,0.52048,0.29251,1.61423,1.18565,1.57697,0.00119391,0.00119391,0.00119391
45,426.072,1.42281,1.23132,1.43747,0.44394,0.83939,0.54234,0.28027,1.68618,1.19386,1.69831,0.0011829,0.0011829,0.0011829
46,432.776,1.43078,1.24517,1.44645,0.50399,0.81752,0.60958,0.30404,1.666,1.18313,1.64323,0.0011719,0.0011719,0.0011719
47,439.493,1.47656,1.25831,1.4746,0.45813,0.92886,0.55233,0.29262,1.48721,1.12424,1.54777,0.0011609,0.0011609,0.0011609
48,446.191,1.36994,1.20617,1.39103,0.45871,0.84189,0.59976,0.33361,1.6522,1.12468,1.62468,0.0011499,0.0011499,0.0011499
49,453.318,1.3532,1.20949,1.38548,0.45885,0.80449,0.58715,0.32904,1.76812,1.15475,1.73816,0.00113889,0.00113889,0.00113889
50,459.752,1.36349,1.17087,1.38657,0.43526,0.91747,0.60215,0.34641,1.62622,1.11762,1.63831,0.00112789,0.00112789,0.00112789
51,466.963,1.44978,1.2299,1.44839,0.4234,0.79595,0.557,0.29694,1.78303,1.21679,1.71974,0.00111689,0.00111689,0.00111689
52,473.646,1.3656,1.21448,1.39254,0.47495,0.86785,0.53297,0.2974,1.55844,1.18485,1.56165,0.00110589,0.00110589,0.00110589
53,480.337,1.38808,1.19475,1.40335,0.42075,0.85694,0.49519,0.26233,1.63434,1.23605,1.64007,0.00109489,0.00109489,0.00109489
54,486.768,1.39377,1.19229,1.4268,0.46486,0.72432,0.58339,0.32419,1.63126,1.19623,1.62768,0.00108388,0.00108388,0.00108388
55,493.229,1.35224,1.13113,1.38506,0.49686,0.81577,0.615,0.32661,1.71509,1.17434,1.62893,0.00107288,0.00107288,0.00107288
56,499.901,1.33088,1.1434,1.36316,0.53168,0.77724,0.61008,0.32364,1.70282,1.15887,1.73076,0.00106188,0.00106188,0.00106188
57,506.64,1.38586,1.20366,1.40513,0.49696,0.77544,0.60377,0.32736,1.66442,1.16432,1.7037,0.00105088,0.00105088,0.00105088
58,513.35,1.34589,1.15359,1.39047,0.4888,0.69142,0.53397,0.28007,1.80005,1.29923,1.76763,0.00103987,0.00103987,0.00103987
59,520.007,1.35714,1.14133,1.37688,0.45579,0.8491,0.52542,0.26099,1.66745,1.22471,1.64066,0.00102887,0.00102887,0.00102887
60,526.62,1.32979,1.13758,1.37696,0.51216,0.68756,0.56928,0.31043,1.61756,1.25329,1.6109,0.00101787,0.00101787,0.00101787
61,533.182,1.27912,1.14196,1.36992,0.45945,0.77117,0.57253,0.30322,1.68772,1.17098,1.69599,0.00100687,0.00100687,0.00100687
62,539.87,1.31214,1.12606,1.37599,0.52011,0.79505,0.62745,0.3487,1.5864,1.16171,1.58791,0.000995866,0.000995866,0.000995866
63,546.862,1.33595,1.14138,1.40123,0.50573,0.89131,0.64137,0.35375,1.58644,1.12121,1.61192,0.000984864,0.000984864,0.000984864
